car_name,fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,rating,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp
Volkswagen Vento,Petrol,999,3,5,Automatic,55,Sedan,4.5,175,4000,108.62,5500
Audi Q5,Petrol,1984,4,5,Manual,0,SUV,4.5,370,4300,245.59,6000
Datsun redi-GO,Petrol,999,3,5,Automatic,28,Hatchback,3.5,91,4250,67.05,5550
BMW 2 Series,Diesel,1995,4,5,Automatic,51,Sedan,4.5,400,2500,187.74,4000
Isuzu D-Max,Diesel,1898,4,5,Automatic,0,SUV,4.5,360,2500,160.92,3600
Audi Q2,Petrol,1984,4,5,Automatic,55,SUV,4.5,320,4180,187.74,6000
Citroen C5 Aircross,Diesel,1997,4,5,Automatic,52.5,SUV,4,400,2000,174.33,3750
Datsun GO,Petrol,1198,3,5,Automatic,35,Hatchback,4.5,104,4400,76.43,6000
Volvo S60,Petrol,1969,4,5,Automatic,0,Sedan,4.5,300,0,190,0
Jaguar XE,Petrol,1997,4,5,Automatic,61.7,Sedan,4.5,365,4000,246.74,5500
Tata Tiago NRG,Petrol,1199,3,5,Automatic,35,Hatchback,4.5,113,3300,84.48,6000
Mahindra KUV 100 NXT,Petrol,1198,3,6,Manual,35,Hatchback,4.5,115,3600,82,5500
Datsun GO Plus,Petrol,1198,3,7,Automatic,35,MUV,4.5,104,4400,76.43,6000
Isuzu MU-X,Diesel,1898,4,7,Automatic,55,SUV,4.5,360,2500,160.92,3600
Jaguar XF,Diesel,1997,4,5,Automatic,0,Sedan,4.5,430,2500,201.15,4250
Mercedes-Benz GLC,Diesel,1950,4,5,Automatic,66,SUV,4.5,400,2800,194,3800
Mercedes-Benz V-Class,Diesel,2143,4,7,Automatic,57,MUV,4.5,380,2400,161,3800
Mini Cooper Convertible,Petrol,1998,4,4,Automatic,44,Convertible,4.5,280,1250,189.08,6000
Land Rover Discovery Sport,Petrol,1997,4,7,Automatic,70,SUV,4.5,365,4500,245.4,5500
Mini Cooper Countryman,Petrol,1998,4,5,Automatic,51,SUV,4.5,280,1350,189.08,6000
Mercedes-Benz A-Class Limousine,Diesel,1950,4,5,Automatic,66,Sedan,4.5,320,3500,147.51,4000
Mini Cooper 3 DOOR,Petrol,1998,4,4,Automatic,44,Hatchback,4.5,280,1250,189.08,6000
Mercedes-Benz CLS,Diesel,1950,4,5,Automatic,66,Coupe,4.5,500,2400,241.3,4200
Mahindra Bolero Neo,Diesel,1493,3,7,Manual,50,SUV,4.5,260,2250,100,3750
Mahindra Bolero Neo,Diesel,1493,3,7,Manual,50,SUV,4.5,260,2250,100,3750
Mercedes-Benz AMG A 35,Petrol,1991,4,5,Automatic,51,Sedan,4.5,400,4000,301.73,5800
Mercedes-Benz GLC Coupe,Diesel,1950,4,5,Automatic,66,Coupe,5,500,2400,241.38,4200
Toyota Glanza,Petrol,1197,4,5,Automatic,37,Hatchback,4.5,113,4400,88.5,6000
Toyota Glanza,Petrol,1197,4,5,Automatic,37,Hatchback,4.5,113,4400,88.5,6000
Honda City Hybrid,Petrol,1498,4,5,Automatic,40,Sedan,4.5,127,5000,96.55,6400
Compass Trailhawk,Diesel,1998,4,5,Automatic,60,SUV,4.5,350,2500,170,3750
Jeep Meridian,Diesel,1956,4,7,Automatic,60,SUV,4.5,350,2500,167.67,3750
Mercedes-Benz AMG A 45 S,Petrol,1991,4,5,Automatic,0,Hatchback,4.5,500,5250,415.71,6750
BMW 3 Series Gran Limousine,Petrol,1998,4,5,Automatic,59,Sedan,4.5,400,4400,254.79,5000
MG Hector Plus,Diesel,1956,4,7,Manual,60,SUV,4.5,350,2500,167.67,3750
Maruti Alto 800 tour,Petrol,796,3,5,Manual,35,Hatchback,4.5,69,3500,47.33,6000
